,species,stage,PC1,PC2,PC3,D,WD,HD,UD,size,stage_ma,order,family,color
1,Gaudryceras varicostatum,Santonian,-0.174844105,-0.123400789,0.027803344,29.3,0.365187713,0.33447099,0.4778157,2296.46075,84.95,Ammonitida,Gaudryceratidae,#D9EF74
3,Phylloceras doderleinianum,Toarcian,0.148970621,0.246957956,0.005357481,132,0.303030303,0.575757576,0.053030303,174240,178.4,Phylloceratida,Phylloceratidae,#99CEE3
4,Calliphylloceras capitanii,Toarcian,0.078287086,0.268238858,-0.024734156,100,0.24,0.53,0.07,60000,178.4,Phylloceratida,Phylloceratidae,#99CEE3
5,Calliphylloceras propinquum,Toarcian,0.129728508,0.2863745,0.019469568,138,0.260869565,0.594202899,0.050724638,171396,178.4,Phylloceratida,Phylloceratidae,#99CEE3
6,Calliphylloceras nilssoni,Toarcian,0.14027411,0.190068386,-0.022617603,53,0.339622642,0.528301887,0.075471698,12640.5,178.4,Phylloceratida,Phylloceratidae,#99CEE3
8,Calliphylloceras propinquum,Toarcian,0.153987632,0.295779072,0.028753824,200,0.27,0.615,0.035,540000,178.4,Phylloceratida,Phylloceratidae,#99CEE3
9,Lytoceras cornucopia,Toarcian,-0.148584862,0.044333271,0.022099237,140,0.257142857,0.4,0.364285714,176400,178.4,Ammonitida,Lytoceratidae,#99CEE3
10,Lytoceras francisci,Toarcian,-0.145525897,0.093720879,0.01949436,180,0.222222222,0.416666667,0.333333333,324000,178.4,Ammonitida,Lytoceratidae,#99CEE3
11,Catacoeloceras crassum,Toarcian,-0.12151694,-0.229966757,-0.016396531,50,0.48,0.28,0.48,15000,178.4,Ammonitida,Dactylioceratidae,#99CEE3
12,Lytoceras francisci,Toarcian,-0.102099291,0.056236075,0.017370417,86,0.279069767,0.418604651,0.325581395,44376,178.4,Ammonitida,Lytoceratidae,#99CEE3
13,Calliphylloceras spadae,Toarcian,0.118680498,0.268982035,0.038822314,90,0.266666667,0.6,0.077777778,48600,178.4,Phylloceratida,Phylloceratidae,#99CEE3
16,Nodicoeloceras tuberculatum,Toarcian,-0.3349452,-0.111968367,-0.027850137,92,0.25,0.22826087,0.543478261,48668,178.4,Ammonitida,Dactylioceratidae,#99CEE3
17,Nodicoeloceras choffati,Toarcian,0.027758787,-0.328121389,-0.067145237,46,0.652173913,0.260869565,0.413043478,15870,178.4,Ammonitida,Dactylioceratidae,#99CEE3
18,Harpoceras (Harpoceras) serpentinum,Toarcian,-0.231646407,0.150623204,-0.023463562,180,0.122222222,0.366666667,0.333333333,178200,178.4,Ammonitida,Hildoceratidae,#99CEE3
19,Mesodactylites mediterraneus,Toarcian,-0.243931365,-0.154063532,0.004269703,76,0.342105263,0.276315789,0.526315789,37544,178.4,Ammonitida,Dactylioceratidae,#99CEE3
20,Harpoceras (Harpoceras) pseudoserpentinum,Toarcian,-0.342788552,0.041730611,-0.004379283,200,0.13,0.3,0.475,260000,178.4,Ammonitida,Hildoceratidae,#99CEE3
23,Polyplectus pluricostatus,Toarcian,0.028012951,0.307133286,0.012473721,90,0.177777778,0.555555556,0.1,32400,178.4,Ammonitida,Hildoceratidae,#99CEE3
25,Harpoceras (Harpoceras) mediterraneum,Toarcian,-0.168788117,0.069370063,0.020941839,80,0.225,0.4,0.3625,28800,178.4,Ammonitida,Hildoceratidae,#99CEE3
26,Ovaticeras ovatum,Toarcian,-0.163721651,0.092901983,-0.01624119,95,0.210526316,0.378947368,0.326315789,45125,178.4,Ammonitida,Hildoceratidae,#99CEE3
28,Harpoceras (Harpoceras) serpentinum,Toarcian,-0.130400863,0.126875998,-0.003973097,82,0.207317073,0.414634146,0.292682927,28577,178.4,Ammonitida,Hildoceratidae,#99CEE3
29,Harpoceras (Harpoceras) serpentinum,Toarcian,-0.161667942,0.11465235,-0.01178998,92,0.195652174,0.391304348,0.315217391,38088,178.4,Ammonitida,Hildoceratidae,#99CEE3
30,Harpoceras (Harpoceras) subplanatum,Toarcian,-0.081799711,0.242679594,-0.00946562,170,0.152941176,0.470588235,0.194117647,187850,178.4,Ammonitida,Hildoceratidae,#99CEE3
31,Harpoceras (Harpoceras) subexaratum,Toarcian,-0.124294224,0.102638218,-0.002247795,122,0.229508197,0.409836066,0.303278689,104188,178.4,Ammonitida,Hildoceratidae,#99CEE3
32,Harpoceras (Harpoceras) subplanatum,Toarcian,-0.077726463,0.230591426,-0.006257003,170,0.164705882,0.470588235,0.2,202300,178.4,Ammonitida,Hildoceratidae,#99CEE3
33,Harpoceras (Harpoceras) falciferum,Toarcian,-0.237928814,0.110400136,-0.021040032,108,0.148148148,0.351851852,0.361111111,46656,178.4,Ammonitida,Hildoceratidae,#99CEE3
34,Hildaites striatus,Toarcian,-0.330835871,0.007583523,-0.036517311,98,0.163265306,0.265306122,0.469387755,38416,178.4,Ammonitida,Hildoceratidae,#99CEE3
36,Hildaites wrighti,Toarcian,-0.266929123,0.019908514,0.002389968,61,0.196721311,0.327868852,0.442622951,11163,178.4,Ammonitida,Hildoceratidae,#99CEE3
37,Hildaites serpentiniformis,Toarcian,-0.340394466,0.002862725,0.0045997,112,0.160714286,0.294642857,0.5,56448,178.4,Ammonitida,Hildoceratidae,#99CEE3
38,Hildaites crassus,Toarcian,-0.343110301,-0.201103676,0.168548626,64,0.3125,0.359375,0.703125,20480,178.4,Ammonitida,Hildoceratidae,#99CEE3
39,Hildaites subserpentinus,Toarcian,-0.232578849,0.084002425,-0.023007677,70,0.171428571,0.342857143,0.371428571,14700,178.4,Ammonitida,Hildoceratidae,#99CEE3
40,Hildaites murleyi,Toarcian,-0.321689221,-0.070589254,0.083885074,70,0.228571429,0.342857143,0.571428571,19600,178.4,Ammonitida,Hildoceratidae,#99CEE3
41,Hildaites wrighti,Toarcian,-0.334326617,0.019217815,-0.015691912,105,0.152380952,0.285714286,0.476190476,44100,178.4,Ammonitida,Hildoceratidae,#99CEE3
43,Hildaites serpentiniformis,Toarcian,-0.304029239,0.030529871,0.006965926,134,0.164179104,0.320895522,0.462686567,98758,178.4,Ammonitida,Hildoceratidae,#99CEE3
44,Hildaites levisoni,Toarcian,-0.359123739,-0.009055782,-0.003430904,210,0.157142857,0.276190476,0.514285714,363825,178.4,Ammonitida,Hildoceratidae,#99CEE3
45,Hildaites murleyi,Toarcian,-0.295040037,0.007051723,-0.024918237,128,0.1875,0.2890625,0.453125,98304,178.4,Ammonitida,Hildoceratidae,#99CEE3
47,Hildaites serpentiniformis,Toarcian,-0.349085089,0.018978024,-0.001034387,154,0.142857143,0.292207792,0.493506494,130438,178.4,Ammonitida,Hildoceratidae,#99CEE3
49,Orthildaites becaudi,Toarcian,-0.31477151,-0.027201523,-0.027702274,60,0.2,0.266666667,0.483333333,10800,178.4,Ammonitida,Hildoceratidae,#99CEE3
